2,0.25,NaN,2
2,0.252,NaN,2
2,0.254,NaN,2
2,0.256,NaN,2
2,0.258,NaN,2
2,0.26,NaN,2
2,0.262,NaN,2
2,0.264,NaN,2
2,0.266,NaN,2
2,0.268,NaN,2
2,0.27,NaN,2
2,0.272,NaN,2
2,0.274,NaN,2
2,0.276,NaN,2
2,0.27799999999999997,NaN,2
2,0.27999999999999997,NaN,2
2,0.282,NaN,2
2,0.284,NaN,2
2,0.286,NaN,2
2,0.288,NaN,2
2,0.29,NaN,2
2,0.292,NaN,2
2,0.294,NaN,2
2,0.296,NaN,2
2,0.298,NaN,2
2,0.3,NaN,2
2,0.302,NaN,2
2,0.304,NaN,2
2,0.306,NaN,2
2,0.308,NaN,2
2,0.31,NaN,2
2,0.312,NaN,2
2,0.314,NaN,2
2,0.316,NaN,2
2,0.318,NaN,2
2,0.31999999999999995,NaN,2
2,0.32199999999999995,NaN,2
2,0.32399999999999995,NaN,2
2,0.32599999999999996,NaN,2
2,0.32799999999999996,NaN,2
2,0.32999999999999996,NaN,2
2,0.33199999999999996,NaN,2
2,0.33399999999999996,NaN,2
2,0.33599999999999997,NaN,2
2,0.33799999999999997,NaN,2
2,0.33999999999999997,NaN,2
2,0.34199999999999997,NaN,2
2,0.344,NaN,2
2,0.346,NaN,2
2,0.348,NaN,2
2.01,0.25,NaN,2
2.01,0.252,NaN,2
2.01,0.254,NaN,2
2.01,0.256,NaN,2
2.01,0.258,NaN,2
2.01,0.26,NaN,2
2.01,0.262,NaN,2
2.01,0.264,NaN,2
2.01,0.266,NaN,2
2.01,0.268,NaN,2
2.01,0.27,NaN,2
2.01,0.272,NaN,2
2.01,0.274,NaN,2
2.01,0.276,NaN,2
2.01,0.27799999999999997,NaN,2
2.01,0.27999999999999997,NaN,2
2.01,0.282,NaN,2
2.01,0.284,NaN,2
2.01,0.286,NaN,2
2.01,0.288,NaN,2
2.01,0.29,NaN,2
2.01,0.292,NaN,2
2.01,0.294,NaN,2
2.01,0.296,NaN,2
2.01,0.298,NaN,2
2.01,0.3,NaN,2
2.01,0.302,NaN,2
2.01,0.304,NaN,2
2.01,0.306,NaN,2
2.01,0.308,NaN,2
2.01,0.31,NaN,2
2.01,0.312,NaN,2
2.01,0.314,NaN,2
2.01,0.316,NaN,2
2.01,0.318,NaN,2
2.01,0.31999999999999995,NaN,2
2.01,0.32199999999999995,NaN,2
2.01,0.32399999999999995,NaN,2
2.01,0.32599999999999996,NaN,2
2.01,0.32799999999999996,NaN,2
2.01,0.32999999999999996,NaN,2
2.01,0.33199999999999996,NaN,2
2.01,0.33399999999999996,NaN,2
2.01,0.33599999999999997,NaN,2
2.01,0.33799999999999997,NaN,2
2.01,0.33999999999999997,NaN,2
2.01,0.34199999999999997,NaN,2
2.01,0.344,NaN,2
2.01,0.346,NaN,2
2.01,0.348,NaN,2
2.02,0.25,NaN,2
2.02,0.252,NaN,2
2.02,0.254,NaN,2
2.02,0.256,NaN,2
2.02,0.258,NaN,2
2.02,0.26,NaN,2
2.02,0.262,NaN,2
2.02,0.264,NaN,2
2.02,0.266,NaN,2
2.02,0.268,NaN,2
2.02,0.27,NaN,2
2.02,0.272,NaN,2
2.02,0.274,NaN,2
2.02,0.276,NaN,2
2.02,0.27799999999999997,NaN,2
2.02,0.27999999999999997,NaN,2
2.02,0.282,NaN,2
2.02,0.284,NaN,2
2.02,0.286,NaN,2
2.02,0.288,NaN,2
2.02,0.29,NaN,2
2.02,0.292,NaN,2
2.02,0.294,NaN,2
